rowOrder;titleOrderInRow;positionScore
14;31;70.1270546982626
14;32;66.62070196334946
14;33;63.289666865181985
14;34;60.125183521922885
14;35;57.11892434582674
14;36;54.2629781285354
14;37;51.54982922210863
14;38;48.972337761003196
14;39;46.523720872953035
14;40;44.19753482930538
14;41;41.98765808784011
14;42;39.8882751834481
14;43;37.89386142427569
14;44;35.999168353061904
14;45;34.19920993540881
14;46;32.48924943863837
14;47;30.864786966706447
14;48;29.321547618371124
14;49;27.855470237452565
14;50;26.462696725579935
14;51;25.139561889300936
14;52;23.882583794835888
14;53;22.688454605094094
14;54;21.55403187483939
14;55;20.476330281097418
14;56;19.452513767042547
14;57;18.47988807869042
14;58;17.555893674755897
14;59;16.6780989910181
14;60;15.844194041467194
14;61;15.051984339393833
14;62;14.299385122424141
14;63;13.584415866302933
14;64;12.905195072987786
14;65;12.259935319338396
14;66;11.646938553371475
14;67;11.064591625702901
14;68;10.511362044417755
14;69;9.985793942196867
14;70;9.486504245087023
15;1;389.05926311709845
15;2;369.6062999612435
15;3;351.12598496318134
15;4;333.5696857150223
15;5;300.2127171435201
15;6;240.1701737148161
15;7;228.16166502907527
15;8;216.7535817776215
15;9;205.9159026887404
15;10;195.62010755430336
15;11;185.83910217658817
15;12;176.54714706775874
15;13;167.7197897143708
15;14;159.33380022865225
15;15;151.36711021721962
15;16;143.79875470635864
15;17;136.6088169710407
15;18;129.77837612248868
15;19;123.28945731636423
15;20;117.12498445054602
15;21;111.26873522801871
15;22;105.70529846661778
15;23;100.42003354328688
15;24;95.39903186612253
15;25;90.6290802728164
15;26;86.09762625917557
15;27;81.79274494621679
15;28;77.70310769890594
15;29;73.81795231396063
15;30;70.1270546982626
15;31;66.62070196334946
15;32;63.289666865181985
